ID,kategori,isi_laporan,sentimen
1,Fisik,Ibu saya sering pingsan dipukuli oleh ayah sampai berdarah-darah,High
2,Psikis,"Sejak kecil, ayah saya tidak menyukai penampilan saya. Warna kulit dan wajah saya berbeda dengan keluarga yang lain. Ayah saya sangat membenci saya dan memaksa saya harus melakukan operasi plastik ketika sudah besar nanti.",High
3,Seksual,Pagi tadi saya iseng mengunggah sebuah foto selfi di internet. Lalu saya dapat kabar kalau teman kuliah saya melakukan masturbasi sambil melihat foto selfie saya. saya sangat takut,High
4,Seksual,ANAK SAYA DIGERAYANGI OLEH LAKI-LAKI TIDAK DIKENAL SAAT PULANG SEKOLAH. SAAT DISELIDIKI TERNYATA LAKI-LAKI TERSEBUT ADALAH ALUMNI SEKOLAHNYA. ANAK SAYA SANGAT TRAUMA SEKARANG,High
5,Fisik,Ada kasus pencabulan di SLB dekat rumah. Belum tertangani dengan baik sampai sekarang karena kasus masih sering terjadi,High
6,Seksual,Saya menemukan seorang anak SD yang dipegang-pegang badannya sama staf di sekolahnya,High
7,Psikis,"Papa aku kalau ngomong suka kasar banget. Aku dikatain idiot lah, bego lah, goblok lah, anak gatau diuntung. Sakit sekali dengarnya. Ini aku nulis juga sambil nangis. Aku harap ada penyelesaian buat papa aku karena aku ga berani untuk bilang",Low
8,Fisik,"Sering terdengar teriakan di rumah tetangga saya. Setelah ditelusuri ternyata anaknya sering disiksa oleh ibunya. Dia disiram air panas, bibirnya diberi balsam, dan sering mendapatkan kekerasan fisik",High
9,Seksual,Dosen saya mengiming-imingi nilai besar jika mau berhubungan badan dengannya,High
10,Psikis,Saya benci dengan ibu saya karena dia selalu membuat kepercayaan diri saya hilang.,Low
11,Seksual,Saya sering dipaksa melakukan hubungan badan dengan om saya,High
12,Fisik,Adik saya sering dipukul temannya sampai cacat fisik,High
13,penelantaran,Saya diharuskan bekerja oleh bapak dari pagi sampai sore dan hanya diberi makan satu kali dalam sehari,High
14,Psikis,Suami teman saya sering merendahkan fisik teman saya setelah melahirkan,Low
15,Fisik,Ibu selalu ngancem bunuh aku kalau kerjanya ga bener,High
16,Psikis,Anak tetangga sering mengeluh dipaksa belajar oleh kedua orang tuanya. Biasanya ia hanya istirahat untuk makan. Dia dilarang bermain sama teman-temannya,High
17,Fisik,Anak saya magang di hotel melebihi jam kerja.. sehari bisa 10 jam sehari,Low
18,Seksual,ANAK SAYA PEREMPUAN DIPERLAKUKAN SECARA TIDAK PANTAS OLEH BOSNYA. TUBUHNYA DIRABA RABA SECARA TIDAK BERMORAL!,High
19,Psikis,Kakak saya dan pacarnya sering menertawakan saya karena saya jelek,Low
20,Fisik,tetangga saya suka menganiaya bayinya jika bayinya berisik. Bayinya sering terluka,High
21,Seksual,Orang tua saya menjual saya pada lelaki hidung belang untuk menjadikan saya alat penghasil uang,High
22,Psikis,Suami saya suka melampiaskan kemarahannya dengan saya dengan menggunakan kata umpatan yang sangat kasar,Low
23,penelantaran,Saya melihat seorang ibu di daerah x meninggalkan sebuah kardus mencurigakan. Keesokkan harinya ada kabar bahwa isi kardus tersebuat adalah seorang anak bayi,Low
